t_s,ref_pos_kPa,P_pos_kPa,ref_neg_kPa,P_neg_kPa,u_mi_pos,u_ma_pos,u_at_pos,u_mi_neg,u_ma_neg,u_at_neg
0.0000,101.3250,103.4588,101.3250,100.7845,0.00,0.00,0.00,0.00,0.00,0.00
0.0020,101.3250,110.7605,101.3250,98.9579,0.00,0.00,0.00,0.00,0.00,0.00
0.0040,101.3250,124.1513,101.3250,95.6764,0.00,0.00,0.01,0.00,0.00,0.00
0.0060,101.3250,143.2172,101.3250,91.1395,0.00,0.00,0.02,0.00,0.00,0.01
0.0080,101.3250,166.8299,101.3250,85.7437,0.00,0.00,0.04,0.00,0.00,0.03
0.0100,101.3250,193.5997,101.3250,79.9523,0.00,0.00,0.07,0.00,0.00,0.05
0.0120,101.3250,222.1719,101.3250,74.2080,0.00,0.00,0.12,0.00,0.00,0.09
0.0140,101.3250,251.3832,101.3250,68.8820,0.00,0.00,0.18,0.00,0.00,0.13
0.0160,101.3250,280.2765,101.3250,64.2520,0.00,0.00,0.25,0.00,0.00,0.18
0.0180,101.3250,308.0317,101.3250,60.4987,0.00,0.00,0.34,0.00,0.00,0.24
0.0200,101.3250,333.8989,101.3250,57.7153,0.00,0.00,0.45,0.00,0.00,0.31
0.0220,101.3250,357.1535,101.3250,55.9200,0.00,0.00,0.56,0.00,0.00,0.38
0.0240,101.3250,377.0666,101.3250,55.0689,0.00,0.00,0.69,0.00,0.00,0.45
0.0260,101.3250,392.8836,101.3250,55.0647,0.00,0.00,0.83,0.00,0.00,0.53
0.0280,101.3250,403.7729,101.3250,55.7649,0.00,0.00,0.97,0.00,0.00,0.60
0.0300,101.3250,408.7356,101.3250,56.9923,0.00,0.00,1.12,0.00,0.00,0.67
0.0320,101.3250,407.2690,101.3250,58.5528,0.00,0.00,1.28,0.00,0.00,0.74
0.0340,101.3250,399.8412,101.3250,60.2561,0.00,0.00,1.43,0.00,0.00,0.81
0.0360,101.3250,387.5429,101.3250,61.9338,0.00,0.00,1.58,0.00,0.00,0.88
0.0380,101.3250,372.3978,101.3250,63.4526,0.00,0.00,1.72,0.00,0.00,0.94
0.0400,101.3250,357.0075,101.3250,64.7205,0.00,0.00,1.86,0.00,0.00,1.00
0.0420,101.3250,343.5573,101.3250,65.6860,0.00,0.00,1.99,0.00,0.00,1.06
0.0440,101.3250,333.5369,101.3250,66.3350,0.00,0.00,2.11,0.00,0.00,1.12
0.0460,101.3250,327.6954,101.3250,66.6834,0.00,0.00,2.22,0.00,0.00,1.17
0.0480,101.3250,326.1301,101.3250,66.7694,0.00,0.00,2.34,0.00,0.00,1.23
0.0500,101.3250,328.4361,101.3250,66.6455,0.00,0.00,2.45,0.00,0.00,1.28
0.0520,101.3250,333.8700,101.3250,66.3710,0.00,0.00,2.56,0.00,0.00,1.34
0.0540,101.3250,341.4988,101.3250,66.0060,0.00,0.00,2.68,0.00,0.00,1.39
0.0560,101.3250,350.3191,101.3250,65.6059,0.00,0.00,2.80,0.00,0.00,1.45
0.0580,101.3250,359.3473,101.3250,65.2185,0.00,0.00,2.92,0.00,0.00,1.51
0.0600,101.3250,367.6831,101.3250,64.8814,0.00,0.00,3.05,0.00,0.00,1.57
0.0620,101.3250,374.5576,101.3250,64.6212,0.00,0.00,3.19,0.00,0.00,1.62
0.0640,101.3250,379.3728,101.3250,64.4535,0.00,0.00,3.32,0.00,0.00,1.68
0.0660,101.3250,381.7420,101.3250,64.3837,0.00,0.00,3.46,0.00,0.00,1.74
0.0680,101.3250,381.5325,101.3250,64.4090,0.00,0.00,3.60,0.00,0.00,1.80
0.0700,101.3250,378.8958,101.3250,64.5194,0.00,0.00,3.74,0.00,0.00,1.86
0.0720,101.3250,374.2613,101.3250,64.7004,0.00,0.00,3.88,0.00,0.00,1.92
0.0740,101.3250,368.2718,101.3250,64.9350,0.00,0.00,4.02,0.00,0.00,1.98
0.0760,101.3250,361.6751,101.3250,65.2050,0.00,0.00,4.15,0.00,0.00,2.04
0.0780,101.3250,355.2046,101.3250,65.4932,0.00,0.00,4.28,0.00,0.00,2.09
0.0800,101.3250,349.4806,101.3250,65.7844,0.00,0.00,4.41,0.00,0.00,2.15
0.0820,101.3250,344.9474,101.3250,66.0660,0.00,0.00,4.53,0.00,0.00,2.21
0.0840,101.3250,341.8487,101.3250,66.3288,0.00,0.00,4.65,0.00,0.00,2.26
0.0860,101.3250,340.2350,101.3250,66.5668,0.00,0.00,4.77,0.00,0.00,2.32
0.0880,101.3250,339.9923,101.3250,66.7773,0.00,0.00,4.89,0.00,0.00,2.38
0.0900,101.3250,340.8833,101.3250,66.9600,0.00,0.00,5.01,0.00,0.00,2.43
0.0920,101.3250,342.5919,101.3250,67.1173,0.00,0.00,5.13,0.00,0.00,2.49
0.0940,101.3250,344.7666,101.3250,67.2527,0.00,0.00,5.25,0.00,0.00,2.54
0.0960,101.3250,347.0578,101.3250,67.3710,0.00,0.00,5.38,0.00,0.00,2.60
0.0980,101.3250,349.1493,101.3250,67.4772,0.00,0.00,5.50,0.00,0.00,2.65
