t_s,ref_pos_kPa,P_pos_kPa,ref_neg_kPa,P_neg_kPa,u_mi_pos,u_ma_pos,u_at_pos,u_mi_neg,u_ma_neg,u_at_neg
0.0000,101.3250,103.4588,101.3250,100.7845,0.00,0.00,0.00,0.00,0.00,0.00
0.0020,101.3250,110.7605,101.3250,98.9579,0.00,0.00,0.00,0.00,0.00,0.00
0.0040,101.3250,124.1513,101.3250,95.6764,0.00,0.00,0.01,0.00,0.00,0.01
0.0060,101.3250,143.2169,101.3250,91.1397,0.00,0.00,0.02,0.00,0.00,0.02
0.0080,101.3250,166.8286,101.3250,85.7444,0.00,0.00,0.05,0.00,0.00,0.05
0.0100,101.3250,193.5955,101.3250,79.9542,0.00,0.00,0.10,0.00,0.00,0.08
0.0120,101.3250,222.1609,101.3250,74.2129,0.00,0.00,0.16,0.00,0.00,0.13
0.0140,101.3250,251.3580,101.3250,68.8928,0.00,0.00,0.25,0.00,0.00,0.20
0.0160,101.3250,280.2249,101.3250,64.2730,0.00,0.00,0.35,0.00,0.00,0.28
0.0180,101.3250,307.9347,101.3250,60.5359,0.00,0.00,0.48,0.00,0.00,0.37
0.0200,101.3250,333.7299,101.3250,57.7760,0.00,0.00,0.62,0.00,0.00,0.46
0.0220,101.3250,356.8766,101.3250,56.0127,0.00,0.00,0.79,0.00,0.00,0.57
0.0240,101.3250,376.6377,101.3250,55.2025,0.00,0.00,0.96,0.00,0.00,0.68
0.0260,101.3250,392.2539,101.3250,55.2477,0.00,0.00,1.16,0.00,0.00,0.79
0.0280,101.3250,402.9041,101.3250,56.0049,0.00,0.00,1.36,0.00,0.00,0.90
0.0300,101.3250,407.5770,101.3250,57.2957,0.00,0.00,1.57,0.00,0.00,1.01
0.0320,101.3250,405.7291,101.3250,58.9254,0.00,0.00,1.79,0.00,0.00,1.11
0.0340,101.3250,397.8038,101.3250,60.7028,0.00,0.00,2.00,0.00,0.00,1.21
0.0360,101.3250,385.1187,101.3250,62.4594,0.00,0.00,2.21,0.00,0.00,1.31
0.0380,101.3250,369.8768,101.3250,64.0616,0.00,0.00,2.41,0.00,0.00,1.40
0.0400,101.3250,354.5446,101.3250,65.4165,0.00,0.00,2.59,0.00,0.00,1.49
0.0420,101.3250,341.1696,101.3250,66.4721,0.00,0.00,2.77,0.00,0.00,1.58
0.0440,101.3250,331.1350,101.3250,67.2129,0.00,0.00,2.94,0.00,0.00,1.66
0.0460,101.3250,325.1240,101.3250,67.6536,0.00,0.00,3.10,0.00,0.00,1.75
0.0480,101.3250,323.2059,101.3250,67.8310,0.00,0.00,3.26,0.00,0.00,1.83
0.0500,101.3250,324.9781,101.3250,67.7965,0.00,0.00,3.41,0.00,0.00,1.91
0.0520,101.3250,329.7213,101.3250,67.6086,0.00,0.00,3.57,0.00,0.00,1.99
0.0540,101.3250,336.5410,101.3250,67.3266,0.00,0.00,3.73,0.00,0.00,2.07
0.0560,101.3250,344.4821,101.3250,67.0058,0.00,0.00,3.89,0.00,0.00,2.15
0.0580,101.3250,352.6152,101.3250,66.6938,0.00,0.00,4.06,0.00,0.00,2.23
0.0600,101.3250,360.1005,101.3250,66.4286,0.00,0.00,4.24,0.00,0.00,2.32
0.0620,101.3250,366.2335,101.3250,66.2372,0.00,0.00,4.42,0.00,0.00,2.40
0.0640,101.3250,370.4823,101.3250,66.1358,0.00,0.00,4.61,0.00,0.00,2.48
0.0660,101.3250,372.5192,101.3250,66.1307,0.00,0.00,4.79,0.00,0.00,2.57
0.0680,101.3250,372.2456,101.3250,66.2196,0.00,0.00,4.98,0.00,0.00,2.65
0.0700,101.3250,369.8007,101.3250,66.3935,0.00,0.00,5.17,0.00,0.00,2.74
0.0720,101.3250,365.5428,101.3250,66.6386,0.00,0.00,5.36,0.00,0.00,2.82
0.0740,101.3250,359.9947,101.3250,66.9386,0.00,0.00,5.55,0.00,0.00,2.90
0.0760,101.3250,353.7643,101.3250,67.2757,0.00,0.00,5.73,0.00,0.00,2.99
0.0780,101.3250,347.4571,101.3250,67.6331,0.00,0.00,5.90,0.00,0.00,3.07
0.0800,101.3250,341.6013,101.3250,67.9957,0.00,0.00,6.08,0.00,0.00,3.15
0.0820,101.3250,336.5961,101.3250,68.3509,0.00,0.00,6.24,0.00,0.00,3.23
0.0840,101.3250,332.6869,101.3250,68.6891,0.00,0.00,6.41,0.00,0.00,3.31
0.0860,101.3250,329.9650,101.3250,69.0040,0.00,0.00,6.57,0.00,0.00,3.39
0.0880,101.3250,328.3860,101.3250,69.2923,0.00,0.00,6.73,0.00,0.00,3.46
0.0900,101.3250,327.7983,101.3250,69.5534,0.00,0.00,6.89,0.00,0.00,3.54
0.0920,101.3250,327.9773,101.3250,69.7889,0.00,0.00,7.05,0.00,0.00,3.62
0.0940,101.3250,328.6598,101.3250,70.0018,0.00,0.00,7.21,0.00,0.00,3.69
0.0960,101.3250,329.5743,101.3250,70.1966,0.00,0.00,7.37,0.00,0.00,3.77
0.0980,101.3250,330.4672,101.3250,70.3780,0.00,0.00,7.53,0.00,0.00,3.84
