t_s,ref_pos_kPa,P_pos_kPa,ref_neg_kPa,P_neg_kPa,u_mi_pos,u_ma_pos,u_at_pos,u_mi_neg,u_ma_neg,u_at_neg
0.0000,101.3250,103.4588,101.3250,100.7845,0.00,0.00,0.00,0.00,0.00,0.00
0.0020,101.3250,110.7605,101.3250,98.9579,0.00,0.00,0.00,0.00,0.00,0.00
0.0040,101.3250,124.1514,101.3250,95.6763,0.00,0.00,0.00,0.00,0.00,0.00
0.0060,101.3250,143.2178,101.3250,91.1393,0.00,0.00,0.00,0.00,0.00,0.00
0.0080,101.3250,166.8324,101.3250,85.7428,0.00,0.00,0.01,0.00,0.00,0.01
0.0100,101.3250,193.6080,101.3250,79.9494,0.00,0.00,0.01,0.00,0.00,0.01
0.0120,101.3250,222.1938,101.3250,74.2006,0.00,0.00,0.02,0.00,0.00,0.02
0.0140,101.3250,251.4334,101.3250,68.8659,0.00,0.00,0.04,0.00,0.00,0.03
0.0160,101.3250,280.3792,101.3250,64.2207,0.00,0.00,0.05,0.00,0.00,0.05
0.0180,101.3250,308.2239,101.3250,60.4434,0.00,0.00,0.07,0.00,0.00,0.06
0.0200,101.3250,334.2332,101.3250,57.6250,0.00,0.00,0.09,0.00,0.00,0.08
0.0220,101.3250,357.6996,101.3250,55.7824,0.00,0.00,0.11,0.00,0.00,0.09
0.0240,101.3250,377.9097,101.3250,54.8709,0.00,0.00,0.14,0.00,0.00,0.11
0.0260,101.3250,394.1166,101.3250,54.7941,0.00,0.00,0.17,0.00,0.00,0.13
0.0280,101.3250,405.4628,101.3250,55.4111,0.00,0.00,0.20,0.00,0.00,0.15
0.0300,101.3250,410.9710,101.3250,56.5465,0.00,0.00,0.23,0.00,0.00,0.17
0.0320,101.3250,410.2191,101.3250,58.0078,0.00,0.00,0.26,0.00,0.00,0.19
0.0340,101.3250,403.7247,101.3250,59.6051,0.00,0.00,0.29,0.00,0.00,0.20
0.0360,101.3250,392.5115,101.3250,61.1708,0.00,0.00,0.32,0.00,0.00,0.22
0.0380,101.3250,378.3909,101.3250,62.5718,0.00,0.00,0.35,0.00,0.00,0.24
0.0400,101.3250,363.8263,101.3250,63.7167,0.00,0.00,0.37,0.00,0.00,0.25
0.0420,101.3250,351.0230,101.3250,64.5551,0.00,0.00,0.40,0.00,0.00,0.27
0.0440,101.3250,341.5406,101.3250,65.0743,0.00,0.00,0.43,0.00,0.00,0.28
0.0460,101.3250,336.2058,101.3250,65.2919,0.00,0.00,0.45,0.00,0.00,0.30
0.0480,101.3250,335.1794,101.3250,65.2477,0.00,0.00,0.47,0.00,0.00,0.31
0.0500,101.3250,338.0981,101.3250,64.9958,0.00,0.00,0.50,0.00,0.00,0.33
0.0520,101.3250,344.2353,101.3250,64.5970,0.00,0.00,0.52,0.00,0.00,0.34
0.0540,101.3250,352.6510,101.3250,64.1123,0.00,0.00,0.54,0.00,0.00,0.35
0.0560,101.3250,362.3119,101.3250,63.5979,0.00,0.00,0.57,0.00,0.00,0.37
0.0580,101.3250,372.1806,101.3250,63.1019,0.00,0.00,0.60,0.00,0.00,0.38
0.0600,101.3250,381.2780,101.3250,62.6619,0.00,0.00,0.62,0.00,0.00,0.40
0.0620,101.3250,388.7258,101.3250,62.3040,0.00,0.00,0.65,0.00,0.00,0.42
0.0640,101.3250,393.7827,101.3250,62.0433,0.00,0.00,0.68,0.00,0.00,0.43
0.0660,101.3250,395.8940,101.3250,61.8845,0.00,0.00,0.71,0.00,0.00,0.45
0.0680,101.3250,394.7956,101.3250,61.8234,0.00,0.00,0.74,0.00,0.00,0.46
0.0700,101.3250,390.6796,101.3250,61.8489,0.00,0.00,0.77,0.00,0.00,0.48
0.0720,101.3250,384.2611,101.3250,61.9452,0.00,0.00,0.80,0.00,0.00,0.49
0.0740,101.3250,376.6182,101.3250,62.0936,0.00,0.00,0.82,0.00,0.00,0.51
0.0760,101.3250,368.9241,101.3250,62.2750,0.00,0.00,0.85,0.00,0.00,0.53
0.0780,101.3250,362.2179,101.3250,62.4709,0.00,0.00,0.88,0.00,0.00,0.54
0.0800,101.3250,357.2615,101.3250,62.6654,0.00,0.00,0.91,0.00,0.00,0.56
0.0820,101.3250,354.4831,101.3250,62.8456,0.00,0.00,0.93,0.00,0.00,0.57
0.0840,101.3250,353.9843,101.3250,63.0023,0.00,0.00,0.96,0.00,0.00,0.59
0.0860,101.3250,355.5894,101.3250,63.1298,0.00,0.00,0.98,0.00,0.00,0.60
0.0880,101.3250,358.9138,101.3250,63.2260,0.00,0.00,1.01,0.00,0.00,0.62
0.0900,101.3250,363.4375,101.3250,63.2917,0.00,0.00,1.03,0.00,0.00,0.63
0.0920,101.3250,368.5727,101.3250,63.3299,0.00,0.00,1.06,0.00,0.00,0.65
0.0940,101.3250,373.7228,101.3250,63.3455,0.00,0.00,1.09,0.00,0.00,0.66
0.0960,101.3250,378.3320,101.3250,63.3440,0.00,0.00,1.11,0.00,0.00,0.68
0.0980,101.3250,381.9278,101.3250,63.3314,0.00,0.00,1.14,0.00,0.00,0.69
