t_s,ref_pos_kPa,P_pos_kPa,ref_neg_kPa,P_neg_kPa,u_mi_pos,u_ma_pos,u_at_pos,u_mi_neg,u_ma_neg,u_at_neg
0.0000,101.3250,103.4588,101.3250,100.7845,0.00,0.00,0.00,0.00,0.00,0.00
0.0020,101.3250,110.7605,101.3250,98.9579,0.00,0.00,0.00,0.00,0.00,0.00
0.0040,101.3250,124.1514,101.3250,95.6763,0.00,0.00,0.00,0.00,0.00,0.00
0.0060,101.3250,143.2180,101.3250,91.1392,0.00,0.00,0.00,0.00,0.00,0.00
0.0080,101.3250,166.8331,101.3250,85.7425,0.00,0.00,0.00,0.00,0.00,0.00
0.0100,101.3250,193.6100,101.3250,79.9485,0.00,0.00,0.00,0.00,0.00,0.00
0.0120,101.3250,222.1993,101.3250,74.1982,0.00,0.00,0.00,0.00,0.00,0.00
0.0140,101.3250,251.4459,101.3250,68.8606,0.00,0.00,0.00,0.00,0.00,0.00
0.0160,101.3250,280.4048,101.3250,64.2102,0.00,0.00,0.00,0.00,0.00,0.00
0.0180,101.3250,308.2716,101.3250,60.4250,0.00,0.00,0.00,0.00,0.00,0.00
0.0200,101.3250,334.3161,101.3250,57.5951,0.00,0.00,0.00,0.00,0.00,0.00
0.0220,101.3250,357.8345,101.3250,55.7368,0.00,0.00,0.00,0.00,0.00,0.00
0.0240,101.3250,378.1175,101.3250,54.8055,0.00,0.00,0.00,0.00,0.00,0.00
0.0260,101.3250,394.4194,101.3250,54.7050,0.00,0.00,0.00,0.00,0.00,0.00
0.0280,101.3250,405.8754,101.3250,55.2948,0.00,0.00,0.00,0.00,0.00,0.00
0.0300,101.3250,411.5127,101.3250,56.4004,0.00,0.00,0.00,0.00,0.00,0.00
0.0320,101.3250,410.9295,101.3250,57.8297,0.00,0.00,0.00,0.00,0.00,0.00
0.0340,101.3250,404.6558,101.3250,59.3932,0.00,0.00,0.00,0.00,0.00,0.00
0.0360,101.3250,393.7200,101.3250,60.9232,0.00,0.00,0.00,0.00,0.00,0.00
0.0380,101.3250,379.8835,101.3250,62.2869,0.00,0.00,0.00,0.00,0.00,0.00
0.0400,101.3250,365.5481,101.3250,63.3928,0.00,0.00,0.00,0.00,0.00,0.00
0.0420,101.3250,352.9142,101.3250,64.1911,0.00,0.00,0.00,0.00,0.00,0.00
0.0440,101.3250,343.5563,101.3250,64.6692,0.00,0.00,0.00,0.00,0.00,0.00
0.0460,101.3250,338.3211,101.3250,64.8452,0.00,0.00,0.00,0.00,0.00,0.00
0.0480,101.3250,337.3887,101.3250,64.7596,0.00,0.00,0.00,0.00,0.00,0.00
0.0500,101.3250,340.4098,101.3250,64.4669,0.00,0.00,0.00,0.00,0.00,0.00
0.0520,101.3250,346.6661,101.3250,64.0285,0.00,0.00,0.00,0.00,0.00,0.00
0.0540,101.3250,355.2187,101.3250,63.5057,0.00,0.00,0.00,0.00,0.00,0.00
0.0560,101.3250,365.0290,101.3250,62.9549,0.00,0.00,0.00,0.00,0.00,0.00
0.0580,101.3250,375.0469,101.3250,62.4246,0.00,0.00,0.00,0.00,0.00,0.00
0.0600,101.3250,384.2713,101.3250,61.9522,0.00,0.00,0.00,0.00,0.00,0.00
0.0620,101.3250,391.7896,101.3250,61.5642,0.00,0.00,0.00,0.00,0.00,0.00
0.0640,101.3250,396.8057,101.3250,61.2754,0.00,0.00,0.00,0.00,0.00,0.00
0.0660,101.3250,398.6759,101.3250,61.0901,0.00,0.00,0.00,0.00,0.00,0.00
0.0680,101.3250,397.0305,101.3250,61.0040,0.00,0.00,0.00,0.00,0.00,0.00
0.0700,101.3250,392.0789,101.3250,61.0055,0.00,0.00,0.00,0.00,0.00,0.00
0.0720,101.3250,384.7315,101.3250,61.0782,0.00,0.00,0.00,0.00,0.00,0.00
0.0740,101.3250,376.3075,101.3250,61.2028,0.00,0.00,0.00,0.00,0.00,0.00
0.0760,101.3250,368.1643,101.3250,61.3596,0.00,0.00,0.00,0.00,0.00,0.00
0.0780,101.3250,361.4358,101.3250,61.5298,0.00,0.00,0.00,0.00,0.00,0.00
0.0800,101.3250,356.8938,101.3250,61.6969,0.00,0.00,0.00,0.00,0.00,0.00
0.0820,101.3250,354.9109,101.3250,61.8477,0.00,0.00,0.00,0.00,0.00,0.00
0.0840,101.3250,355.4919,101.3250,61.9730,0.00,0.00,0.00,0.00,0.00,0.00
0.0860,101.3250,358.3441,101.3250,62.0673,0.00,0.00,0.00,0.00,0.00,0.00
0.0880,101.3250,362.9615,101.3250,62.1285,0.00,0.00,0.00,0.00,0.00,0.00
0.0900,101.3250,368.7081,101.3250,62.1578,0.00,0.00,0.00,0.00,0.00,0.00
0.0920,101.3250,374.8907,101.3250,62.1588,0.00,0.00,0.00,0.00,0.00,0.00
0.0940,101.3250,380.8193,101.3250,62.1366,0.00,0.00,0.00,0.00,0.00,0.00
0.0960,101.3250,385.8572,101.3250,62.0973,0.00,0.00,0.00,0.00,0.00,0.00
0.0980,101.3250,389.4666,101.3250,62.0472,0.00,0.00,0.00,0.00,0.00,0.00
