t_s,ref_pos_kPa,P_pos_kPa,ref_neg_kPa,P_neg_kPa,u_mi_pos,u_ma_pos,u_at_pos,u_mi_neg,u_ma_neg,u_at_neg
0.0000,101.3250,103.4588,101.3250,100.7845,0.00,0.00,0.00,0.00,0.00,0.00
0.0020,101.3250,110.7605,101.3250,98.9579,0.00,0.00,0.00,0.00,0.00,0.00
0.0040,101.3250,124.1514,101.3250,95.6764,0.00,0.00,0.00,0.00,0.00,0.00
0.0060,101.3250,143.2175,101.3250,91.1394,0.00,0.00,0.01,0.00,0.00,0.01
0.0080,101.3250,166.8312,101.3250,85.7433,0.00,0.00,0.02,0.00,0.00,0.02
0.0100,101.3250,193.6038,101.3250,79.9509,0.00,0.00,0.04,0.00,0.00,0.03
0.0120,101.3250,222.1829,101.3250,74.2043,0.00,0.00,0.07,0.00,0.00,0.06
0.0140,101.3250,251.4084,101.3250,68.8740,0.00,0.00,0.11,0.00,0.00,0.08
0.0160,101.3250,280.3280,101.3250,64.2363,0.00,0.00,0.15,0.00,0.00,0.12
0.0180,101.3250,308.1280,101.3250,60.4710,0.00,0.00,0.21,0.00,0.00,0.15
0.0200,101.3250,334.0667,101.3250,57.6701,0.00,0.00,0.27,0.00,0.00,0.19
0.0220,101.3250,357.4278,101.3250,55.8510,0.00,0.00,0.34,0.00,0.00,0.24
0.0240,101.3250,377.4906,101.3250,54.9695,0.00,0.00,0.41,0.00,0.00,0.28
0.0260,101.3250,393.5045,101.3250,54.9288,0.00,0.00,0.50,0.00,0.00,0.33
0.0280,101.3250,404.6258,101.3250,55.5870,0.00,0.00,0.58,0.00,0.00,0.38
0.0300,101.3250,409.8670,101.3250,56.7680,0.00,0.00,0.68,0.00,0.00,0.42
0.0320,101.3250,408.7656,101.3250,58.2783,0.00,0.00,0.77,0.00,0.00,0.47
0.0340,101.3250,401.8148,101.3250,59.9277,0.00,0.00,0.86,0.00,0.00,0.51
0.0360,101.3250,390.0278,101.3250,61.5485,0.00,0.00,0.95,0.00,0.00,0.55
0.0380,101.3250,375.3078,101.3250,63.0074,0.00,0.00,1.04,0.00,0.00,0.59
0.0400,101.3250,360.2350,101.3250,64.2125,0.00,0.00,1.12,0.00,0.00,0.63
0.0420,101.3250,347.0324,101.3250,65.1133,0.00,0.00,1.20,0.00,0.00,0.67
0.0440,101.3250,337.2386,101.3250,65.6962,0.00,0.00,1.27,0.00,0.00,0.70
0.0460,101.3250,331.6461,101.3250,65.9780,0.00,0.00,1.34,0.00,0.00,0.74
0.0480,101.3250,330.3820,101.3250,65.9978,0.00,0.00,1.41,0.00,0.00,0.77
0.0500,101.3250,333.0561,101.3250,65.8089,0.00,0.00,1.48,0.00,0.00,0.81
0.0520,101.3250,338.9262,101.3250,65.4714,0.00,0.00,1.55,0.00,0.00,0.84
0.0540,101.3250,347.0479,101.3250,65.0456,0.00,0.00,1.62,0.00,0.00,0.88
0.0560,101.3250,356.3960,101.3250,64.5875,0.00,0.00,1.69,0.00,0.00,0.92
0.0580,101.3250,365.9547,101.3250,64.1449,0.00,0.00,1.77,0.00,0.00,0.95
0.0600,101.3250,374.7813,101.3250,63.7554,0.00,0.00,1.85,0.00,0.00,0.99
0.0620,101.3250,382.0526,101.3250,63.4452,0.00,0.00,1.93,0.00,0.00,1.03
0.0640,101.3250,387.1058,101.3250,63.2296,0.00,0.00,2.02,0.00,0.00,1.06
0.0660,101.3250,389.4870,101.3250,63.1137,0.00,0.00,2.10,0.00,0.00,1.10
0.0680,101.3250,389.0176,101.3250,63.0940,0.00,0.00,2.19,0.00,0.00,1.14
0.0700,101.3250,385.8655,101.3250,63.1599,0.00,0.00,2.27,0.00,0.00,1.18
0.0720,101.3250,380.5611,101.3250,63.2963,0.00,0.00,2.36,0.00,0.00,1.22
0.0740,101.3250,373.9118,101.3250,63.4854,0.00,0.00,2.44,0.00,0.00,1.26
0.0760,101.3250,366.8421,101.3250,63.7086,0.00,0.00,2.53,0.00,0.00,1.29
0.0780,101.3250,360.2279,101.3250,63.9483,0.00,0.00,2.60,0.00,0.00,1.33
0.0800,101.3250,354.7721,101.3250,64.1889,0.00,0.00,2.68,0.00,0.00,1.37
0.0820,101.3250,350.9362,101.3250,64.4178,0.00,0.00,2.76,0.00,0.00,1.41
0.0840,101.3250,348.9240,101.3250,64.6257,0.00,0.00,2.83,0.00,0.00,1.44
0.0860,101.3250,348.7044,101.3250,64.8069,0.00,0.00,2.91,0.00,0.00,1.48
0.0880,101.3250,350.0559,101.3250,64.9590,0.00,0.00,2.98,0.00,0.00,1.52
0.0900,101.3250,352.6231,101.3250,65.0822,0.00,0.00,3.06,0.00,0.00,1.55
0.0920,101.3250,355.9731,101.3250,65.1792,0.00,0.00,3.13,0.00,0.00,1.59
0.0940,101.3250,359.6467,101.3250,65.2541,0.00,0.00,3.21,0.00,0.00,1.62
0.0960,101.3250,363.2032,101.3250,65.3121,0.00,0.00,3.29,0.00,0.00,1.66
0.0980,101.3250,366.2571,101.3250,65.3585,0.00,0.00,3.36,0.00,0.00,1.70
