t,y_ref,y,v,acc,P_pos_sp,P_pos,P_neg_sp,P_neg,F_req,F_each,F_pos,F_neg,F_net
0,0.015,0.015,-2.84217e-18,-1.42109e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.002,0.015,0.015,-5.6616e-18,-1.40972e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.004,0.015,0.015,-8.45848e-18,-1.39844e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.006,0.015,0.015,-1.1233e-17,-1.38725e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.008,0.015,0.015,-1.39853e-17,-1.37615e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.01,0.015,0.015,-1.67156e-17,-1.36514e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.012,0.015,0.015,-1.9424e-17,-1.35422e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.014,0.015,0.015,-2.21108e-17,-1.34339e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.016,0.015,0.015,-2.47761e-17,-1.33264e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.018,0.015,0.015,-2.74201e-17,-1.32198e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.02,0.015,0.015,-3.00429e-17,-1.31141e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.022,0.015,0.015,-3.26447e-17,-1.30091e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.024,0.015,0.015,-3.52257e-17,-1.29051e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.026,0.015,0.015,-3.77861e-17,-1.28018e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.028,0.015,0.015,-4.0326e-17,-1.26994e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.03,0.015,0.015,-4.28455e-17,-1.25978e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.032,0.015,0.015,-4.53449e-17,-1.2497e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.034,0.015,0.015,-4.78243e-17,-1.23971e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.036,0.015,0.015,-5.02839e-17,-1.22979e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.038,0.015,0.015,-5.27238e-17,-1.21995e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.04,0.015,0.015,-5.51442e-17,-1.21019e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.042,0.015,0.015,-5.75452e-17,-1.20051e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.044,0.015,0.015,-5.9927e-17,-1.1909e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.046,0.015,0.015,-6.22898e-17,-1.18138e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.048,0.015,0.015,-6.46336e-17,-1.17193e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.05,0.015,0.015,-6.69587e-17,-1.16255e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.052,0.015,0.015,-6.92652e-17,-1.15325e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.054,0.015,0.015,-7.15533e-17,-1.14402e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.056,0.015,0.015,-7.3823e-17,-1.13487e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.058,0.015,0.015,-7.60746e-17,-1.12579e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.06,0.015,0.015,-7.83082e-17,-1.11679e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.062,0.015,0.015,-8.05239e-17,-1.10785e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.064,0.015,0.015,-8.27219e-17,-1.09899e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.066,0.015,0.015,-8.49023e-17,-1.0902e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.068,0.015,0.015,-8.70652e-17,-1.08148e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.07,0.015,0.015,-8.92109e-17,-1.07282e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.072,0.015,0.015,-9.13394e-17,-1.06424e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.074,0.015,0.015,-9.34508e-17,-1.05573e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.076,0.015,0.015,-9.55454e-17,-1.04728e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.078,0.015,0.015,-9.76232e-17,-1.0389e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.08,0.015,0.015,-9.96844e-17,-1.03059e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.082,0.015,0.015,-1.01729e-16,-1.02235e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.084,0.015,0.015,-1.03757e-16,-1.01417e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.086,0.015,0.015,-1.0577e-16,-1.00606e-15,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.088,0.015,0.015,-1.07766e-16,-9.98007e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.09,0.015,0.015,-1.09746e-16,-9.90023e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.092,0.015,0.015,-1.1171e-16,-9.82103e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.094,0.015,0.015,-1.13658e-16,-9.74246e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.096,0.015,0.015,-1.15591e-16,-9.66452e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.098,0.015,0.015,-1.17509e-16,-9.58721e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.1,0.015,0.015,-1.19411e-16,-9.51051e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.102,0.015,0.015,-1.21298e-16,-9.43443e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.104,0.015,0.015,-1.23169e-16,-9.35895e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.106,0.015,0.015,-1.25026e-16,-9.28408e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.108,0.015,0.015,-1.26868e-16,-9.20981e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.11,0.015,0.015,-1.28695e-16,-9.13613e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.112,0.015,0.015,-1.30508e-16,-9.06304e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.114,0.015,0.015,-1.32306e-16,-8.99053e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.116,0.015,0.015,-1.3409e-16,-8.91861e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.118,0.015,0.015,-1.35859e-16,-8.84726e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.12,0.015,0.015,-1.37615e-16,-8.77648e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.122,0.015,0.015,-1.39356e-16,-8.70627e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.124,0.015,0.015,-1.41083e-16,-8.63662e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.126,0.015,0.015,-1.42797e-16,-8.56753e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.128,0.015,0.015,-1.44496e-16,-8.49899e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.13,0.015,0.015,-1.46183e-16,-8.431e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.132,0.015,0.015,-1.47855e-16,-8.36355e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.134,0.015,0.015,-1.49515e-16,-8.29664e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.136,0.015,0.015,-1.51161e-16,-8.23027e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.138,0.015,0.015,-1.52794e-16,-8.16442e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.14,0.015,0.015,-1.54413e-16,-8.09911e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.142,0.015,0.015,-1.5602e-16,-8.03432e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.144,0.015,0.015,-1.57614e-16,-7.97004e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.146,0.015,0.015,-1.59196e-16,-7.90628e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.148,0.015,0.015,-1.60764e-16,-7.84303e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.15,0.015,0.015,-1.6232e-16,-7.78029e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.152,0.015,0.015,-1.63864e-16,-7.71804e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.154,0.015,0.015,-1.65395e-16,-7.6563e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.156,0.015,0.015,-1.66914e-16,-7.59505e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.158,0.015,0.015,-1.68421e-16,-7.53429e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.16,0.015,0.015,-1.69916e-16,-7.47402e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.162,0.015,0.015,-1.71399e-16,-7.41422e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.164,0.015,0.015,-1.7287e-16,-7.35491e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.166,0.015,0.015,-1.74329e-16,-7.29607e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.168,0.015,0.015,-1.75776e-16,-7.2377e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.17,0.015,0.015,-1.77212e-16,-7.1798e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.172,0.015,0.015,-1.78637e-16,-7.12236e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.174,0.015,0.015,-1.8005e-16,-7.06538e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.176,0.015,0.015,-1.81452e-16,-7.00886e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.178,0.015,0.015,-1.82842e-16,-6.95279e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.18,0.015,0.015,-1.84222e-16,-6.89717e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.182,0.015,0.015,-1.8559e-16,-6.84199e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.184,0.015,0.015,-1.86947e-16,-6.78725e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.186,0.015,0.015,-1.88294e-16,-6.73295e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.188,0.015,0.015,-1.8963e-16,-6.67909e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.19,0.015,0.015,-1.90955e-16,-6.62566e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.192,0.015,0.015,-1.9227e-16,-6.57265e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.194,0.015,0.015,-1.93574e-16,-6.52007e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.196,0.015,0.015,-1.94867e-16,-6.46791e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.198,0.015,0.015,-1.9615e-16,-6.41617e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.2,0.015,0.015,-1.97423e-16,-6.36484e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.202,0.015,0.015,-1.98686e-16,-6.31392e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.204,0.015,0.015,-1.99939e-16,-6.26341e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.206,0.015,0.015,-2.01181e-16,-6.2133e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.208,0.015,0.015,-2.02414e-16,-6.1636e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.21,0.015,0.015,-2.03637e-16,-6.11429e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.212,0.015,0.015,-2.0485e-16,-6.06537e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.214,0.015,0.015,-2.06054e-16,-6.01685e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.216,0.015,0.015,-2.07247e-16,-5.96871e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.218,0.015,0.015,-2.08431e-16,-5.92096e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.22,0.015,0.015,-2.09606e-16,-5.8736e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.222,0.015,0.015,-2.10771e-16,-5.82661e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.224,0.015,0.015,-2.11927e-16,-5.78e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.226,0.015,0.015,-2.13074e-16,-5.73376e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.228,0.015,0.015,-2.14212e-16,-5.68789e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.23,0.015,0.015,-2.1534e-16,-5.64238e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.232,0.015,0.015,-2.1646e-16,-5.59724e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.234,0.015,0.015,-2.1757e-16,-5.55247e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.236,0.015,0.015,-2.18672e-16,-5.50805e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.238,0.015,0.015,-2.19765e-16,-5.46398e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.24,0.015,0.015,-2.20849e-16,-5.42027e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.242,0.015,0.015,-2.21924e-16,-5.37691e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.244,0.015,0.015,-2.22991e-16,-5.33389e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.246,0.015,0.015,-2.24049e-16,-5.29122e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.248,0.015,0.015,-2.25099e-16,-5.24889e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.25,0.015,0.015,-2.2614e-16,-5.2069e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.252,0.015,0.015,-2.27173e-16,-5.16524e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.254,0.015,0.015,-2.28198e-16,-5.12392e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.256,0.015,0.015,-2.29215e-16,-5.08293e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.258,0.015,0.015,-2.30223e-16,-5.04227e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.26,0.015,0.015,-2.31224e-16,-5.00193e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.262,0.015,0.015,-2.32216e-16,-4.96191e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.264,0.015,0.015,-2.332e-16,-4.92222e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.266,0.015,0.015,-2.34177e-16,-4.88284e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.268,0.015,0.015,-2.35146e-16,-4.84378e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.27,0.015,0.015,-2.36107e-16,-4.80503e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.272,0.015,0.015,-2.3706e-16,-4.76659e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.274,0.015,0.015,-2.38006e-16,-4.72846e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.276,0.015,0.015,-2.38944e-16,-4.69063e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.278,0.015,0.015,-2.39874e-16,-4.6531e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.28,0.015,0.015,-2.40798e-16,-4.61588e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.282,0.015,0.015,-2.41713e-16,-4.57895e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.284,0.015,0.015,-2.42622e-16,-4.54232e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.286,0.015,0.015,-2.43523e-16,-4.50598e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.288,0.015,0.015,-2.44417e-16,-4.46993e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.29,0.015,0.015,-2.45304e-16,-4.43417e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.292,0.015,0.015,-2.46184e-16,-4.3987e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.294,0.015,0.015,-2.47056e-16,-4.36351e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.296,0.015,0.015,-2.47922e-16,-4.3286e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.298,0.015,0.015,-2.48781e-16,-4.29397e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.3,0.015,0.015,-2.49633e-16,-4.25962e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.302,0.015,0.015,-2.50478e-16,-4.22554e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.304,0.015,0.015,-2.51316e-16,-4.19174e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.306,0.015,0.015,-2.52148e-16,-4.15821e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.308,0.015,0.015,-2.52973e-16,-4.12494e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.31,0.015,0.015,-2.53791e-16,-4.09194e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.312,0.015,0.015,-2.54603e-16,-4.05921e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.314,0.015,0.015,-2.55408e-16,-4.02673e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.316,0.015,0.015,-2.56207e-16,-3.99452e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.318,0.015,0.015,-2.57e-16,-3.96256e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.32,0.015,0.015,-2.57786e-16,-3.93086e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.322,0.015,0.015,-2.58566e-16,-3.89941e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.324,0.015,0.015,-2.5934e-16,-3.86822e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.326,0.015,0.015,-2.60107e-16,-3.83727e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.328,0.015,0.015,-2.60868e-16,-3.80658e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.33,0.015,0.015,-2.61624e-16,-3.77612e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.332,0.015,0.015,-2.62373e-16,-3.74591e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.334,0.015,0.015,-2.63116e-16,-3.71595e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.336,0.015,0.015,-2.63853e-16,-3.68622e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
