t,theta_ref_deg,theta_deg,omega_degps,alpha,P_pos_sp,P_pos,P_neg_sp,P_neg,F_req,F_pos,F_neg,F_net,tau_act,tau_grav
0,10,10,1.40245e-14,1.22387e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.002,10,10,2.78281e-14,1.20459e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.004,10,10,4.14144e-14,1.18562e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.006,10,10,5.47867e-14,1.16695e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.008,10,10,6.79484e-14,1.14858e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.01,10,10,8.09028e-14,1.13049e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.012,10,10,9.36533e-14,1.11269e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.014,10,10,1.06203e-13,1.09516e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.016,10,10,1.18555e-13,1.07792e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.018,10,10,1.30712e-13,1.06094e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.02,10,10,1.42678e-13,1.04423e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.022,10,10,1.54456e-13,1.02779e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.024,10,10,1.66048e-13,1.0116e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.026,10,10,1.77458e-13,9.95672e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.028,10,10,1.88688e-13,9.79992e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.03,10,10,1.99741e-13,9.64559e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.032,10,10,2.1062e-13,9.49369e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.034,10,10,2.21327e-13,9.34419e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.036,10,10,2.31866e-13,9.19703e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.038,10,10,2.42239e-13,9.0522e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.04,10,10,2.52449e-13,8.90964e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.042,10,10,2.62498e-13,8.76934e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.044,10,10,2.72389e-13,8.63124e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.046,10,10,2.82124e-13,8.49531e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.048,10,10,2.91705e-13,8.36153e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.05,10,10,3.01136e-13,8.22985e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.052,10,10,3.10418e-13,8.10024e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.054,10,10,3.19554e-13,7.97268e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.056,10,10,3.28546e-13,7.84713e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.058,10,10,3.37397e-13,7.72355e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.06,10,10,3.46108e-13,7.60192e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.062,10,10,3.54682e-13,7.4822e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.064,10,10,3.63121e-13,7.36437e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.066,10,10,3.71427e-13,7.2484e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.068,10,10,3.79602e-13,7.13425e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.07,10,10,3.87649e-13,7.0219e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.072,10,10,3.95568e-13,6.91132e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.074,10,10,4.03363e-13,6.80248e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.076,10,10,4.10535e-13,6.25826e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.078,10,10,4.17093e-13,5.72261e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.08,10,10,4.23547e-13,5.63249e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.082,10,10,4.29399e-13,5.10669e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.084,10,10,4.34658e-13,4.58918e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.086,10,10,4.39333e-13,4.07981e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.088,10,10,4.43934e-13,4.01556e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.09,10,10,4.47962e-13,3.51523e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.092,10,10,4.51426e-13,3.02278e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.094,10,10,4.54335e-13,2.53808e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.096,10,10,4.57197e-13,2.49811e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.098,10,10,4.59514e-13,2.02167e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.1,10,10,4.61293e-13,1.55274e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.102,10,10,4.62544e-13,1.09119e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.104,10,10,4.63774e-13,1.07401e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.106,10,10,4.64485e-13,6.19996e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.108,10,10,4.64683e-13,1.73137e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.11,10,10,4.64378e-13,-2.66685e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.112,10,10,4.64077e-13,-2.62485e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.114,10,10,4.6328e-13,-6.95447e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
